细细的,46,死的,66
园内,46,士隐,66
体面,46,病了,66
婶子,46,就好了,66
花儿,46,便命,66
王爷,46,二十,66
一首,46,却说,66
吓了一跳,46,暂且,66
邢王二,46,睡了,66
那宝玉,46,从此,65
此事,46,我才,65
不信,46,未免,65
亲友,46,不免,65
真真,45,想了一想,65
姑妈,45,错了,65
大红,45,傍边,65
带领,45,一点,65
早起,45,小厮们,65
头上,45,好些,65
睡觉,45,下了,64
风流,45,因为,64
说明,45,站在,64
太监,45,问你,64
指着,45,且听,64
扇子,45,穿着,64
房子,45,打发人,64
认真,44,大老爷,64
叫做,44,小姐,64
大小,44,规矩,64
玉钏儿,44,我还,63
人去,44,应了,63
一头,44,日子,63
没见,44,拿来,63
使唤,44,慢慢的,63
低头,44,跑了,63
问问,44,湘莲,63
北静王,43,问了,63
俗语说,43,叹道,62
打开,43,想到,62
每人,43,就完了,62
急忙,43,当下,62
不好意思,43,你又,62
要知,43,照应,62
舅舅,43,尚未,62
缘故,43,也罢了,62
旺儿,43,仔细,62
才刚,43,刚才,62
作主,43,一张,61
说出,43,第二,61
夫妻,43,没人,61
老子,43,了他,61
淘气,42,不信,61
妹子,42,都笑,61
我来,42,来至,61
打死,42,不在家,61
能够,42,有人,61
听听,42,吓的,61
今见,42,嘱咐,61
来往,42,抱怨,61
侍书,42,闲话,60
混帐,42,站起来,60
细细,42,不要,60
因说,42,究竟,60
这倒,42,兴儿,60
二字,42,一块,60
小孩子,42,替我,60
上房,42,竟不,60
蹄子,42,爷们,59
吃了饭,42,去的,59
回房,42,回明,59
贾府,42,不在话下,59
带来,42,门上,59
窗外,42,却也,59
不解,42,笑说,59
两天,42,放了,59
抬头,42,二则,59
赖大,41,跪下,59
一碗,41,给了,59
安慰,41,你是,59
拍手,41,仍旧,59
大哭,41,焙茗,59
桌上,41,何必,59
倒好,41,又命,58
外人,41,的时候,58
一边,41,换了,58
女子,40,冯紫英,58
心事,40,各人,58
阿弥陀佛,40,一阵,58
祖宗,40,还没,58
赶忙,40,次日,58
法子,40,记得,58
金钏儿,40,却不,58
丰儿,40,不想,58
在内,40,他说,57
不算,40,里面,57
何曾,40,收了,57
弟兄,40,放下,57
之事,40,忽听,57
尤氏道,40,巧姐儿,57
师父,40,做了,57
进京,40,把那,57
容易,40,正经,57
端的,40,写了,56
没个,40,可怜,56
回明,40,总不,56
孝敬,39,陪着,56
偶然,39,俗语,56
公子,39,富贵,56
四人,39,一句话,56
幸而,39,进了,56
告辞,39,气的,56
乃是,39,包勇,56
糟蹋,39,怡红院,56
这事,39,近日,56
道士,39,只顾,56
何事,39,贾环,56
我原,39,到这里,55
怪道,39,哭道,55
不到,39,天下,55
往前,39,打点,55
谁家,39,荣府,55
远远,38,公子,55
帘子,38,告诉他,55
几次,38,两日,55
多心,38,风流,55
小心,38,坏了,55
必要,38,半天,55
不用说,38,在家里,55
未知,38,贾母等,54
巴不得,38,低头,54
这种,38,笑着,54
巧姐,38,二姐,54
幸亏,38,送去,54
话儿,38,既是,54
门外,38,这一,54
银钱,38,几天,54
空儿,38,人来,54
房门,38,有趣,54
二门,38,皆是,54
母女,38,拿出,54
照管,38,商量,54
独有,37,又要,54
说来,37,虽有,54
怨不得,37,只好,53
贾瑞,37,可知,53
诸事,37,上头,53
回至,37,惟有,53
金陵,37,真真,53
相干,37,利害,53
这有,37,十二,53
未可知,37,就走,53
顽笑,37,或是,53
贾妃,37,怕他,53
一种,37,着急,53
包勇,37,眼睛,53
执事,37,个小,52
问好,37,红了脸,52
李嬷嬷,37,儿子,52
厨房,37,琥珀,52
一步,37,丫鬟们,52
上学,37,须得,52
南边,37,床上,52
更好,37,之意,52
交与,37,亦不,52
走进,36,姊妹们,52
一分,36,口内,52
院门,36,一迳,52
赶来,36,一概,52
坠儿,36,各色,52
甄宝玉,36,一则,52
喝酒,36,这么大,52
手帕,36,生日,52
想道,36,喜的,51
会意,36,而已,51
好看,36,晚饭,51
菩萨,36,不住,51
还好,36,命他,51
来到,36,不自在,51
念道,36,自然是,51
大嫂子,36,或有,51
这位,36,房内,51
安歇,36,了一遍,51
不够,36,或者,51
模样儿,36,闹了,51
偏生,36,闹的,51
转身,36,相干,51
行事,36,果子,51
拉着,36,骂道,50
有理,36,姨妈,50
名唤,35,代儒,50
头儿,35,仗着,50
新鲜,35,要紧,50
为的是,35,心内,50
先前,35,在一处,50
站住,35,众人都,50
咳嗽,35,法儿,50
打谅,35,娘娘,50
爷爷,35,吓得,50
儿媳,35,也不能,50
袭人见,35,彩云,50
法儿,35,伸手,50
一事,35,也要,50
精神,35,赌气,50
角门,35,一顿,50
三日,35,在这,50
院内,35,你要,50
以为,35,几年,50
打量,35,替你,50
昨夜,35,仍是,49
便宜,35,不禁,49
尤三姐,35,家去,49
明年,35,便向,49
开门,35,不见,49
伤感,35,岂知,49
样儿,34,拉了,49
板儿,34,念书,49
没什么,34,不及,49
不快,34,勉强,49
已有,34,胡说,49
两件,34,眼泪,49
一起,34,鲍二,49
亲家,34,告诉你,48
笑嘻嘻,34,又向,48
没意思,34,得罪了,48
环儿,34,并无,48
一次,34,巧姐,48
一并,34,从前,48
四字,34,亲友,48
小事,34,那日,48
天气,34,贾兰,48
一层,34,遣人,48
一带,34,若有,48
梅花,34,受了,48
一下,34,才说,48
贾芹,33,嗳哟,47
处来,33,回了,47
走开,33,更加,47
神仙,33,元妃,47
针线,33,送到,47
平儿忙,33,他便,47
背后,33,哭了,47
理会,33,也不知,47
行礼,33,翠缕,47
前来,33,一见,47
这才,33,逛逛,47
写道,33,衙门,47
着实,33,家中,47
薛蟠道,33,又叫,47
好事,33,从小儿,47
海棠,33,小的,47
没趣,33,他就,47
老娘,33,明白了,46
早些,33,醒了,46
打算,32,这么着,46
登时,32,后面,46
彼时,32,背地里,46
办事,32,第一,46
答道,32,不中用,46
一根,32,好生,46
荣国府,32,指着,46
纳闷,32,几日,46
后悔,32,这事,46
士隐,32,睡去,46
故事,32,扇子,46
奇怪,32,一条,46
几句话,32,照看,46
婆婆,32,祖宗,46
两三个,32,睡觉,46
不忍,32,晚间,46
向宝玉,32,婶子,46
一同,32,这件事,46
早有,32,出门,46
后门,32,够了,46
一味,32,空儿,46
头发,32,你不,46
一副,32,喝了,45
辜负,32,说他,45
张罗,31,你别,45
二叔,31,等都,45
日后,31,除了,45
正值,31,我要,45
山石,31,索性,45
现成,31,已是,45
日夜,31,便问道,45
李贵,31,动了,45
要说,31,细细,45
随便,31,迟了,45
好不好,31,舅舅,45
女婿,31,不大,45
暗暗,31,的手,45
前头,31,而去,45
夜里,31,文章,45
一发,31,丰儿,45
二位,31,吃的,45
上夜,31,他也,45
你好,31,王爷,45
进城,31,北静王,45
一路,31,古人,44
一枝,31,玉钏儿,44
椅子,31,送来,44
辛苦,31,上面,44
桌子,31,每人,44
呆呆,31,答言,44
往日,31,反倒,44
没人,31,一面又,44
那年,31,侍书,44
快快,31,是他,44
脾气,30,退出,44
庙里,30,使不得,44
贾蔷,30,的是,44
讲究,30,又不好,44
之声,30,并不是,44
信儿,30,认真,44
宝丫头,30,未必,44
没法,30,你还,44
荷包,30,住着,44
等语,30,帮着,44
一瞧,30,琏二,44
贾家,30,近来,44
一片,30,园子,44
知县,30,彼此,44
接过,30,是了,44
拦住,30,一位,43
惊动,30,拿去,43
后头,30,想道,43
屋内,30,年轻,43
回过,30,放着,43
大门,30,急忙,43
相见,30,回身,43
大哥,30,这也,43
脸面,30,交给,43
微微,30,样呢,43
题目,30,嘴里,43
周瑞,30,细细的,43
明知,30,作主,43
