在这里,309,72.732508,6.009843,6.163580,12.173423,885.403556
在院内,14,77.357731,3.521641,3.251629,6.773270,523.964784
在眼前,5,42.504248,1.921928,1.000010,2.921938,124.194781
在眼里,10,71.297448,1.356780,1.000010,2.356790,168.033087
在宝玉身,8,48.264785,3.000000,1.298795,4.298795,207.480414
在宝玉身上,5,155.544334,2.321928,2.000000,4.321928,672.251429
在他身上,11,27.762561,3.459432,2.584963,6.044394,167.807858
在那,331,17.819802,6.176624,1.047873,7.224497,128.739112
在那里,284,53.105138,6.118741,6.225057,12.343798,655.519081
在轿内,7,171.906069,2.235926,2.584963,4.820889,828.740051
在我跟前,6,80.610303,2.584963,1.921928,4.506891,363.301816
在我这里,5,23.305700,2.321928,2.000000,4.321928,100.725559
在椅子上,9,120.915454,1.446617,1.584963,3.031579,366.564772
在书房,13,35.040087,3.334679,2.192006,5.526685,193.655524
在书房里,5,67.175252,2.321928,2.000000,4.321928,290.326611
在大太太,8,29.953555,3.000000,1.405639,4.405639,131.964553
在大观园,6,25.856135,2.251629,2.251629,4.503258,116.436855
在灵前,5,65.006497,2.000000,2.000000,4.000000,260.025987
在房中,18,18.854965,3.086049,3.459432,6.545480,123.414800
在上房,5,21.668832,2.321928,2.321928,4.643856,100.626941
在上头,12,25.750146,3.418296,2.750000,6.168296,158.834520
在床沿上,5,228.395858,1.370951,1.500000,2.870951,655.713225
在床上,45,146.264618,3.430832,3.625000,7.055832,1032.018576
在傍边,28,79.341263,4.035582,3.852169,7.887751,625.824105
在监里,6,147.348059,1.792481,2.000000,3.792481,558.814751
在当地,6,102.010195,1.792481,2.321928,4.114409,419.711699
在二门,9,36.167251,2.725481,2.197160,4.922640,178.038366
论理,23,455.639983,2.000000,3.093069,5.093069,2320.605966
论起,13,257.535642,2.405639,2.188787,4.594426,1183.228485
论那,5,99.052170,2.321928,2.321928,4.643856,459.984034
论了,5,99.052170,1.370951,1.000010,2.370961,234.848792
比人,13,39.073427,2.855389,2.815072,5.670461,221.564340
比他,27,81.152501,4.229871,3.594483,7.824354,634.965875
比这,13,39.073427,3.169925,2.719295,5.889220,230.111987
比那,14,42.079075,2.751629,2.978095,5.729724,241.101487
比那些,5,28.181863,1.921928,2.321928,4.243856,119.599774
比如,21,63.118612,2.000000,3.327340,5.327340,336.254301
比不得,45,90.850334,3.738149,4.328197,8.066346,732.830250
比不得你,8,44.313128,2.000000,2.000000,4.000000,177.252511
比我,33,99.186391,4.483856,3.438307,7.922163,785.770796
比你,24,72.135557,3.734522,3.312907,7.047429,508.370212
比一,8,24.045186,2.584963,2.155639,4.740602,113.988644
比往,20,60.112964,3.511085,1.765957,5.277043,317.218680
